Title,ID,Year,Rating,Review
"License to Wed",tt0762114,2007,5,***
Ratatouille,tt0382932,2007,9,"This is one of my personal favorite Pixar movies. It has many of the usual strengths of that studio, but it also manages to capture the experience of taste in a purely visual medium—something for which it receives full marks."
"Wild Hogs",tt0486946,2007,3,***
"Evan Almighty",tt0413099,2007,4,"Despite the wit of its lead actor, this movie fails to capture the humor of its predecessor"
"The Bourne Ultimatum",tt0440963,2007,8,***
"Fantastic 4: Rise of the Silver Surfer",tt0486576,2007,2,"This sequel offers little reason for existing beyond its mildly-more entertaining predecessor"
Snatch,tt0208092,2000,9,***
Memento,tt0209144,2000,9,"An excellent precursor to the career of one of the great modern directors"
Unbreakable,tt0217869,2000,9,"Though I may be biased as a lover of comicbooks, Unbreakable stands as one of Shyamalan's early feats."
"Ocean's Eleven",tt0240772,2001,10,"To the best of my knowledge, there is only one thing cooler than George Clooney, and that's Brad Pitt. So for a movie starring both of them—and with Matt Damon and Don Cheadle to boot—Ocean's Eleven easily stands as the coolest, wittiest, most stylish, most suspenseful heist film out there."
"Black Hawk Down",tt0265086,2001,4,"I couldn't keep up with the characters. I hear it is really good, though. I'll give it another chance soon enough."
"Spirited Away",tt0245429,2001,8,***
"A Beautiful Mind",tt0268978,2001,9,***
"The Italian Job",tt0317740,2003,7,***
"Big Fish",tt0319061,2003,8,"A beautiful, artsy movie. Relateable, in a way."
"Once Upon a Time in Mexico",tt0285823,2003,7,"The bold strokes of style are so much fun that you can't not enjoy this movie."
"The Matrix Reloaded",tt0234215,2003,7,***
"Matrix Revolutions",tt0242653,2003,6,***
Daredevil,tt0287978,2003,6,***
"Mean Girls",tt0377092,2004,7,***
"The Day After Tomorrow",tt0319262,2004,5,***
"Ocean's Twelve",tt0349903,2004,7,***
"Anchorman: The Legend of Ron Burgundy",tt0357413,2004,9,***
Troy,tt0332452,2004,8,"I'm a little biased, but I really like this movie. It's a terrific Epic based on a terrific epic. What it wants to do—which is entertain me—it does really well."
"Million Dollar Baby",tt0405159,2004,6,***
"The Punisher",tt0330793,2004,7,"It's depressing and violent, and it lacks a thematic/artistic taste to lift it above its flaws. Still, the characters seem interesting enough and there is a glimmer of creativity in the ""by-the-numbers revenge."""
"Dodgeball: A True Underdog Story",tt0364725,2004,7,***
"A Series of Unfortunate Events",tt0339291,2004,6,***
"Napoleon Dynamite",tt0374900,2004,9,"Napolean Dynamite was a truly inventive film that revolutionized the comedy-drama for the next decade, and in some ways, ushered in the current age of independent movie-making."
"Indiana Jones and the Kingdom of the Crystal Skull",tt0367882,2008,7,"Harrison Ford is great and the movie is a lot of fun."
"Iron Man",tt0371746,2008,9,"Iron Man is significantly more tame than the most recent franchise installments, and by its smaller scope, it delivers one of the most personal stories in the universe. The movie is also noteworthy purely for its cinematic influence, not only for establishing the summer tentpole genre for the next decade but also for demonstrating the power of casting."
"The Dark Knight",tt0468569,2008,9,"Presently my favorite superhero movie. With snazzy moral dilemmas and a wonderful performance by Ledger, you can easily get over Maggie Gyllenhaal."
Hancock,tt0448157,2008,6,***
"Quantum of Solace",tt0830515,2008,6,***
"The Incredible Hulk",tt0800080,2008,7,"It’s better than you remember."
Cloverfield,tt1060277,2008,8,***
Twilight,tt1099212,2008,7,"This subpar movie excels only in cultural importance and in its soundtrack"
"The Curious Case of Benjamin Button",tt0421715,2008,8,"The most intriguing part is how they handle everyone's greatest fear: to grow weak, ugly, and old—they take the infamously handsome Brad Pitt and watch as he becomes stronger, younger, and more beautiful."
Taken,tt0936501,2008,6,***
300,tt0416449,2006,8,"This movie is exciting and visually thrilling, and has narrative strength as well. I don't think this is the greatest movie of the year, but it is certainly more than pulp film."
"The Devil Wears Prada",tt0458352,2006,7,***
"The Illusionist",tt0443543,2006,8,***
"The Prestige",tt0482571,2006,9,"Suspenseful and beautifully shot, The Prestige acts as a great showcase for the abilities of its two leads."
"The Assassination of Jesse James by the Coward Robert Ford",tt0443680,2007,8,***
"National Treasure: Book of Secrets",tt0465234,2007,4,***
"American Gangster",tt0765429,2007,8,***
"Slumdog Millionaire",tt1010048,2008,8,***
WALL-E,tt0910970,2008,8,"Wall-E captures the charm and the skill of the early comedy greats like Keaton and Chaplin in a futuristic, topical premise"
"Seven Pounds",tt0814314,2008,5,***
"Kung Fu Panda",tt0441773,2008,8,***
"Much Ado About Nothing",tt0107616,1993,8,***
Zombieland,tt1156398,2009,8,***
"Sherlock Holmes",tt0988045,2009,8,"As no loyalist to the books, Sherlock Holmes is a serviceable mystery with plenty of Ritchie's flair"
"Star Trek",tt0796366,2009,8,"Super cool and lots of fun."
"Transformers: Revenge of the Fallen",tt1055369,2009,5,***
"The Princess and the Frog",tt0780521,2009,7,"The thematic exploration is one of Disney’s best, as is the style and villain of the film, but in the end, the movie is too contrived and not patient with its own development."
"The Invention of Lying",tt1058017,2009,3,"The first rule of being a comedy is being funny. This movie tries too hard to push its message (one I obviously dislike) and too little on being funny"
"He's Just Not That Into You",tt1001508,2009,6,***
"District 9",tt1136608,2009,7,***
"500 Days of Summer",tt1022603,2009,8,"There is a lot wrong with this movie, but also a lot that Webb and the writers got right. One of the best romance movies ever and very possibly the best romantic comedy."
"17 Again",tt0974661,2009,5,***
"X-Men Origins: Wolverine",tt0458525,2009,3,***
Knowing,tt0448011,2009,5,"A strangely dark and creative tale that ultimately gives no satisfaction to the viewer"
"Terminator Salvation",tt0438488,2009,5,***
"The Proposal",tt1041829,2009,5,***
"Paul Blart: Mall Cop",tt1114740,2009,5,***
"The Twilight Saga: New Moon",tt1259571,2009,5,***
"The Lovely Bones",tt0380510,2009,7,***
Avatar,tt0499549,2009,7,"It's a great movie and there might even be nothing wrong with it. But there's also nothing special."
"Dr. Jekyll and Mr. Hyde",tt0022835,1931,9,"Dr. Jekyll is one of my earliest excursions into pre-Cold War cinema, and its emotional, dramatic performances have stayed with me all this time"
"Inherit the Wind",tt0053946,1960,10,"Through bias, neither side in this movie comes off as perfect. I love this film because we see the timeless battle between Liberal and Conservative. The men and women in this film experience pride and experience joy, a longing to hurt others and a longing to keep those around them safe, a desire to progress and a desire to hold to what they know is right despite the changing pressures. The performances are heartfelt; I can't help but tear up."
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",tt0057012,1964,7,***
Shenandoah,tt0059711,1965,7,"It is the family dynamics of this film that pull it above a mediocre Western. Stewart does an excellent job as usual."
"Who's Afraid of Virginia Woolf?",tt0061184,1966,10,"The first time I saw Who's Afraid of Virginia Woolf, I remember thinking to myself, ""What is this?"" But not like that—not in a questioning or dismissive way. I asked because I could not understand how I felt so close to the characters. I had never experienced that sensation—at least not outside of my books, not in the form of real people saying their lines on a screen in front of me. Now, many years removed from that first viewing, I am inclined to write-off my reaction to my unfamiliarity with cinema's canon. But I believe I would be wrong to do that. Surely, it is due, in part, to the original playwright, Edward Albee, but I think this movie captures its audience with the reality of it all. The characters seem real, and the dialogue does too. The events and the stories are all too familiar. The tragedy of life is laid out before us, and we cannot help but weep for it."
"The Graduate",tt0061722,1967,8,"The existentialist nature of the movie is a little off-putting, but the mood of the movie is uncannily effective."
"2001: A Space Odyssey",tt0062622,1968,10,"This film is, I believe, Kubrick's magnum opus; it is—in the truest sense of the word—a masterpiece that bends the audience's emotion like a conductor directing an orchestra."
"The Godfather",tt0068646,1972,10,"All of the artistic elements of filmmaking come together here and make an unmistakable masterpiece. It is an epic centered on a family, and the love and the cruelty therein."
"Taxi Driver",tt0075314,1976,8,"Taxi Driver is a horrifying look at the underbelly of 70s America and the damages of poor mental healthcare "
"Apocalypse Now",tt0078788,1979,7,***
"The Warriors",tt0080120,1979,7,***
"Raging Bull",tt0081398,1980,10,"Raging Bull is the greatest achievement of Frank Vincent, Joe Pesci, Robert De Niro, and Martin Scorsese, some of the greatest contributors to the film world. It is also, easily, one of the greatest movies ever. Raging Bull tells a story that defies genre, and does it in a most sobering way. De Niro's LaMotta can do nothing but evoke emotion from its audience, and for that, it may suffer among viewers. At times it may be too artsy, and at times it may be too gritty, but it is all for the greater effect. It is a masterpiece of cinema, that leaves you—the viewer—sympathizes for its victims. Never empathizing, though; how could you? There is little more to love in Jake ""the Bull"" LaMotta."
"Saludos Amigos",tt0036326,1942,5,"There’s little to endear it to a viewer."
"The Three Caballeros",tt0038166,1944,5,"This should not be an animated classic."
"Melody Time",tt0040580,1948,6,"It’s a little less cute and a little less fun than Make Mine Music."
"The Hairy Ape",tt0036892,1944,5,***
"The Black Cauldron",tt0088814,1985,8,"This forgotten gem glimmers on rare occasion with excellent artwork and darker themes. Check out Ebert’s review on this flick."
"Big Trouble in Little China",tt0090728,1986,8,"This movie is hilariously silly"
GoodFellas,tt0099685,1990,9,***
"Troll 2",tt0105643,1990,8,"Ratings break down for movies like this. But if we're giving it a score for how much I enjoy watching it with friends, then something high seems right."
"Rosencrantz & Guildenstern Are Dead",tt0100519,1990,7,***
"The Silence of the Lambs",tt0102926,1991,8,"Two villains, both sharing the spotlight, makes for a thrilling movie that leaves you on the edge."
"Pirates of Silicon Valley",tt0168122,1999,7,***
Ali,tt0248667,2001,7,"The boxing sequences are terrific and the storyline is nothing but interesting, but still, I was never quite captured by the movie."
"Love Actually",tt0314331,2003,6,"The movie is able to create a relationship and produce empathy for each of its characters despite the division of screen time among them—an impressive feat. Nonetheless, the movie falls into classic rom-com deficiencies and is appallingly materialistic/sexual."
"The Notebook",tt0332280,2004,6,"While the story of anyone with Alzheimer's is tragic, the movie is otherwise wheel-spinning"
"V for Vendetta",tt0434409,2005,8,"It's a college favorite"
"Prince of Persia: The Sands of Time",tt0473075,2010,6,***
Apocalypto,tt0472043,2006,7,"Super entertaining story with a character you easily sympathize with"
"Sense and Sensibility",tt0114388,1995,8,***
"The Twilight Saga: Eclipse",tt1325004,2010,5,***
"Robin Hood",tt0955308,2010,3,"There are mere minutes of entertaining action inside this mess"
Megamind,tt1001526,2010,8,"I'm a little tied on this vs. Shrek, but regardless, it is one of the funniest animated movies there is."
"Iron Man 2",tt1228705,2010,7,"This sequel captures little of its predecessor’s magic but does include a couple notable performances."
"True Grit",tt1403865,2010,6,"It advertised as a dark Western. It was not that at all. That's points off; why not just advertise it as the strong yet lighthearted Western that it is."
Tangled,tt0398286,2010,8,"Tangled has a lot of tangible goodness, including one notably creative scene, yet some of the gags and characters feel a little stock."
Inception,tt1375666,2010,8,"A great heist film with practical effects"
"How to Train Your Dragon",tt0892769,2010,7,"It's a good movie, but it's hard for me to fathom the huge following behind these movies"
Superbad,tt0829482,2007,6,"A somewhat revolutionary film for the comedy genre, launching a few careers. Pretty funny, but I think seeing it so late ruined it for me since it could not possibly live up to the hype it received."
"The Social Network",tt1285016,2010,8,***
"Toy Story 3",tt0435761,2010,8,***
"The Hangover",tt1119646,2009,8,"Clever and crass, The Hangover is one the funniest movies I have ever seen."
"127 Hours",tt1542344,2010,8,***
"Get Him to the Greek",tt1226229,2010,3,***
"Black Swan",tt0947798,2010,7,***
"City of God",tt0317248,2002,10,"Cidade de Deus, on merit of story alone, struggles to stand with giants like Goodfellas and Gangs of New York. But simply because of the color and sound—the culture and love—emanating from the film, City of God can compete. For me, what is most stirring is merely seeing the cover/poster for the movie and remembering Rocket's boyish love and remembering what he lost."
"Harry Potter and the Sorcerer's Stone",tt0241527,2001,7,***
"Harry Potter and the Chamber of Secrets",tt0295297,2002,7,***
"Harry Potter and the Prisoner of Azkaban",tt0304141,2004,8,"The characters introduced here and the directorial choices are a welcome change that lift this episode above the rest."
"Harry Potter and the Goblet of Fire",tt0330373,2005,7,***
"Harry Potter and the Order of the Phoenix",tt0373889,2007,7,"Though I rated it the same as most of the others, the final dual is magnificent and undoubtedly one of the best scenes of the series."
"Harry Potter and the Half-Blood Prince",tt0417741,2009,7,"The character and actor for Dumbledore are at their best here."
"Harry Potter and the Deathly Hallows: Part 1",tt0926084,2010,7,***
"The Apple Dumpling Gang",tt0072653,1975,6,***
"The Dilemma",tt1578275,2011,5,"This movie deals with oddly deep issues but lacks the narrative focus to come to any conclusion"
Anonymous,tt1521197,2011,4,***
"The Lincoln Lawyer",tt1189340,2011,7,***
"Pirates of the Caribbean: On Stranger Tides",tt1298650,2011,4,"This movie represents the transition of a franchise from above-average and creative to bloated and cynical"
Limitless,tt1219289,2011,8,"Limitless rightfully earns its place as a cult classic for its charismatic though flawed delivery"
Invictus,tt1057500,2009,6,***
"Transformers: Dark of the Moon",tt1399103,2011,5,***
"Harry Potter and the Deathly Hallows: Part 2",tt1201607,2011,8,***
"X-Men: First Class",tt1270798,2011,6,"I love Magneto and Kevin Bacon—the rest I can do without."
"Inside Man",tt0454848,2006,7,***
Immortals,tt1253864,2011,4,"This movie tries shamefully to copy 300 and with little success"
"American Psycho",tt0144084,2000,8,"One of the most haunting movies I have seen"
"The Departed",tt0407887,2006,9,"A modern addition to the classic gangster epics: Godfather, Scarface, Goodfellas, etc."
Zodiac,tt0443706,2007,8,***
"The Tree of Life",tt0478304,2011,8,"The message it delivers, I've heard before. And the beginning is so slow. But everything is made brand-new. From the cosmic to micro—through a family that conjures up my own memories—I am forced to acknowledge those mighty words God spoke to Job. Honestly, I was excited for the acting, the effects, the vistas, the 2001-like meditative pace, but it was the theme that took me."
"Sky Captain and the World of Tomorrow",tt0346156,2004,5,***
"The Butterfly Effect",tt0289879,2004,7,***
"The Holiday",tt0457939,2006,6,"While there were parts that I definitely liked, the movie seemed confused through most of its two hour run-time."
"The Big Lebowski",tt0118715,1998,9,***
"Austin Powers: International Man of Mystery",tt0118655,1997,7,"This franchise provides three funny, if not uneven, parodies"
"Austin Powers: The Spy Who Shagged Me",tt0145660,1999,7,"This franchise provides three funny, if not uneven, parodies"
"Austin Powers In Goldmember",tt0295178,2002,6,"This franchise provides three funny, if not uneven, parodies"
"The Descendants",tt1033575,2011,7,***
"The Royal Tenenbaums",tt0265666,2001,8,***
Watchmen,tt0409459,2009,8,"An adaptation of a great graphic novel, commenting on the last few decades, with an enthralling style."
"The Godfather: Part II",tt0071562,1974,10,"All of the artistic elements of filmmaking come together here and make an unmistakable masterpiece. It is an epic centered on a family, and the love and the cruelty therein."
"The Godfather: Part III",tt0099674,1990,8,"I'm tempted to rate this lower. I am torn on whether its association with the other two Godfather's helps or hurts it; I feel connected to Part III since I have gotten to know all the characters so well, but when compared to the other two, this movie definitely falls short. On its own, I think it deserves more than what it gets."
"Fast Five",tt1596343,2011,7,***
"Source Code",tt0945513,2011,8,***
Thor,tt0800369,2011,6,"Thor, like most of the movies in the Marvel’s first phase, comes loaded with humor and heart but lacks some of the special features of its peers."
"One Flew Over the Cuckoo's Nest",tt0073486,1975,9,Tragic
"Reservoir Dogs",tt0105236,1992,7,"A gritty Twelve Angry Men of sorts."
"Captain America: The First Avenger",tt0458339,2011,7,"Like Avengers: Age of Ultron, the first Captain movie is a divider, entering us into the greatest of the MCU, the ones that each accomplish something special. And Captain America: The First Avenger is special for delivering a romanticized hero, something audiences hadn’t seen since The Rocketeer or 1978’s Superman."
"Pulp Fiction",tt0110912,1994,8,"Pulp Fiction is a cultural touchstone and revolutionary film. It excels in narrative structure, lyrical writing, and the capturing of a milieu "
"Fantastic Mr. Fox",tt0432283,2009,7,***
"Sherlock Holmes: A Game of Shadows",tt1515091,2011,6,***
Drive,tt0780504,2011,7,***
"Crazy, Stupid, Love.",tt1570728,2011,8,"A great romance, it has wonderful things to say about love and marriage. It's funny, but it's obvious that humor is not its main goal. This film is a great addition to the few believable rom-coms out there that say good things about traditional institutions."
"Super Troopers",tt0247745,2001,5,"Dumb but funny"
"The Lorax",tt1482459,2012,6,***
"Rain Man",tt0095953,1988,7,"Excellent and heartfelt performances with some snazzy tricks from the autistic savant, but my interest peaked out and I never was ""amazed."""
"Moonrise Kingdom",tt1748122,2012,7,"I have very mixed feelings about this movie, but at the end of it all, I can easily say it's a good movie."
Savages,tt1615065,2012,6,***
Prometheus,tt1446714,2012,5,"Entertaining but filled to the brim with plot holes."
[Rec],tt1038988,2007,7,"I'm not a scary movie buff, but for me, it doesn't get much scarier than this."
"The Avengers",tt0848228,2012,10,"Some have said The Avengers doesn’t hold up well. I say: Nonsense. The wit is perfect, the story streamlined. Each character is given their motivation and their story understands that motivation; all threads come together and everything is paid off. In addition to these fundamental virtues, though, The Avengers is a huge movie with huge importance. More than Iron Man, The Avengers showed what the MCU could be and continues to be. It is, in many regards, a perfect movie."
"No Country for Old Men",tt0477348,2007,10,"Though it makes me laugh on occasion, it is sadly nostalgic."
"There Will Be Blood",tt0469494,2007,9,"This is possibly Paul Thomas Anderson's strongest film with a fine performance by Daniel Day-Lewis. It stands alongside All About Eve and Citizen Kane as one of the great power corrupts stories."
"The Bourne Legacy",tt1194173,2012,5,"Action movie. It was thrilling at some points, but for the most part, just an action movie going through the formula."
"American Beauty",tt0169547,1999,10,"I greatly appreciate movies that can balance multiple genres at once, like this comedy meets tragic-drama. Its sad commentary on middle class life and complacency is piercing."
"The Cabin in the Woods",tt1259521,2012,8,"I hate horror movies, yet I loved this movie. Now, I admit, everything I dislike about horror movies, I disliked in this movie, but The Cabin in the Woods had so much more to offer. Funny and Scary? They said it couldn't be done, but apparently, they were wrong."
"The Amazing Spider-Man",tt0948470,2012,6,"Though correcting some of the previous franchise's errs, it lacks the emotional intelligence and film craftsmanship"
"The Maltese Falcon",tt0033870,1941,8,"The Maltese Falcon is a pinnacle noir film, more focused on the intrigue of the characters than that of its MacGuffin. "
"The Way of the Gun",tt0202677,2000,5,"There were some really fun parts in this movie, but the end slowed down rather than speeding up and the family dynamics remind me of the Bold and the Beautiful."
"The Beaver",tt1321860,2011,7,***
"The Hobbit: An Unexpected Journey",tt0903624,2012,7,"A really fun movie, but not much like Jackson's other films. And seriously, the FPS is like watching a soap opera."
"Mrs. Miniver",tt0035093,1942,5,***
"Les Miserables",tt1707386,2012,6,"Good—great source material obviously—but the camera man should take a few steps back."
Lincoln,tt0443272,2012,8,"The ""Inspirational"" film seems contrived and gimmicky but is nonetheless wonderful. The screenwriting and Day-Lewis's performance are particularly good."
"The Dark Knight Rises",tt1345836,2012,7,"Though correcting some directing issues from the previous two, this film still feels less cohesive"
Skyfall,tt1074638,2012,8,"It borrows a lot from the Bourne, Batman, and Die Hard series, but in so doing, it creates its own masterpiece. The balance (and resurrection) of the campier Bond films is a pleasant addition to the Craig era."
Unforgiven,tt0105695,1992,9,"Maybe I am too generous with this movie, but Unforgiven is one of the reasons I love the Western genre. Both a commentary on the genre and violence, this is a masterpiece film with funny, sad, and thrilling moments all."
"A Clockwork Orange",tt0066921,1971,7,"The soundtrack and sound-effects are some of the best, and the themes tossed around will not soon leave your mind. But, I would never advise someone to watch this movie—it is vulgar and grotesque. Also, though I do not think it ultimately achieves this, it comes dangerously close to celebrating wickedness through irresponsible directing"
"A Personal Journey with Martin Scorsese Through American Movies",tt0112120,1995,7,"A very atypical look at the history of cinema. It could definitely be boring at times with a near 4 hour length, but I learned a lot."
"Legally Blonde",tt0250494,2001,6,***
"Dog Day Afternoon",tt0072890,1975,6,***
"Sunset Boulevard",tt0043014,1950,9,***
"Moulin Rouge!",tt0203009,2001,9,"A wonderfully original musical"
"The Artist",tt1655442,2011,8,***
"Notting Hill",tt0125439,1999,6,***
"Salmon Fishing in the Yemen",tt1441952,2011,6,***
"Touch of Evil",tt0052311,1958,8,"It's possibly more beautiful than it is thrilling"
"The Hudsucker Proxy",tt0110074,1994,6,***
"The Passion of Joan of Arc",tt0019254,1928,7,"As a modern viewer, it's hard to get past some of the techniques and methods used in this movie. But regardless—largely thanks to the score—it is a powerful story that makes you care."
"Visions of Light",tt0105764,1993,8,"Visions of Light is an intriguing look at the art of cinematography"
"The Quiet Man",tt0045061,1952,7,"A solid, if not mild, film"
"The Lives of Others",tt0405094,2006,7,"A very interesting movie that draws in your sympathy."
"Cinema Paradiso",tt0095765,1988,7,"A pretty good movie, with a wonderful ending."
"Il Postino",tt0110877,1994,7,"Il Postino is a fine movie, coasting mostly on its warmth of setting"
"The Third Man",tt0041959,1949,8,***
"Singin' in the Rain",tt0045152,1952,9,"This movie truly is a classic in every sense. It has a little depth parallel to the story, but mainly it's just fun—clever, funny, aesthetically rich, and entertaining."
"The Sting",tt0070735,1973,8,"Stylish, funny, and thrilling, The Sting is the <i>true</i> inspiration for one of my personal favorites, Ocean's Eleven."
"The Tingler",tt0053363,1959,6,"It's a fun horror flick, but I expected a few more laughs or a few more scares than I got."
"The Outlaw Josey Wales",tt0075029,1976,9,"This is an important part of why I like Westerns: their ""revisionist"" history."
"The Wind Rises",tt2013293,2013,7,***
"Anchorman 2: The Legend Continues",tt1229340,2013,7,***
"Annie Hall",tt0075686,1977,8,***
"Beasts of the Southern Wild",tt2125435,2012,5,***
"Dallas Buyers Club",tt0790636,2013,7,"Artsy, well-acted, and deep (having 3 major themes with roughly the same amount of screen-time), Dallas Buyers Club has all the aspects of a good movie. It is not quite as entertaining as other movies with similar themes (e.g. Wolf of Wall Street), and it seemed to run through the motions at times, not adding anything new."
"Children of Men",tt0206634,2006,6,***
Lawless,tt1212450,2012,6,***
"Pitch Perfect",tt1981677,2012,6,"Though filled to the brim with cliches, the songs are catchy and fun"
"Silver Linings Playbook",tt1045658,2012,6,***
"When Harry Met Sally...",tt0098635,1989,8,***
"The Perks of Being a Wallflower",tt1659337,2012,7,***
"Iron Man 3",tt1300854,2013,7,"Paralleled by only a few other movies on this list, Iron Man 3 demonstrates what it means to understand your own characters. While it took some time to get over my fanboy rage regarding the Mandarin, I came around to appreciated Shane Black’s handling of Tony Stark and tangental structuring of the narrative."
Hugo,tt0970179,2011,8,***
"The Room",tt0368226,2003,8,Spoon!
42,tt0453562,2013,7,***
"Thank You For Smoking",tt0427944,2005,9,"The ending could have been better, but as far as comedies go, this is definitely one of the best."
Redline,tt0780595,2009,8,***
8½,tt0056801,1963,8,"A sort of cinematic ""Portrait of the Artist as a Young Man,"" I started off disliking it—much like I did that book. But then after enough exposure, I had entered Guido's mind and Fellini's mind. And I understood it and empathized with it."
"The Great Gatsby",tt1343092,2013,6,"Though the novel isn't my favorite, this movie—while fine—fails to capture its source material's virtue"
"The Last Emperor",tt0093389,1987,7,"Creative in its use of color, The Last Emperor explores a trying time through the eyes of an important figure"
"Inglourious Basterds",tt0361748,2009,8,***
"Django Unchained",tt1853728,2012,9,"The Soundtrack is this movies greatest asset."
Chinatown,tt0071315,1974,9,"An elegant reentry to Noir. The Title is what makes this movie."
"Wreck-it Ralph",tt1772341,2012,6,"The premise is funny and some of the jokes are witty, but Wreck-It-Ralph lacks anything extraordinary."
"Man of Steel",tt0770828,2013,7,"The movie has definite short-comings (lack of change, dismissal conclusion, excessive violence) but is still a passable superhero film."
"Despicable Me 2",tt1690953,2013,5,***
"Meet the Parents",tt0212338,2000,7,***
"Jerry Maguire",tt0116695,1996,8,"Funny, entertaining, and fairly realistic love-story"
"L.A. Confidential",tt0119488,1997,8,***
"Full Metal Jacket",tt0093058,1987,8,***
"Eternal Sunshine of the Spotless Mind",tt0338013,2004,8,***
"Road to Perdition",tt0257044,2002,7,***
"The Master",tt1560747,2012,7,"I think Ebert describes this movie best when he says it has beauty and it has power, but when you grasp for it, you just grab air."
"The Wolverine",tt1430132,2013,7,***
"City Lights",tt0021749,1931,7,"A sweet and light-hearted early film"
"Fast & Furious 6",tt1905041,2013,8,***
Argo,tt1024648,2012,7,***
"Like Crazy",tt1758692,2011,8,***
Rounders,tt0128442,1998,7,***
50/50,tt1306980,2011,7,"You know who the best part of this movie is? Serge Houde. Hands down. 50/50 may not have the most profound message on the topic, but it handles it well and is very funny."
"World War Z",tt0816711,2013,8,"Plenty of tropes, without a doubt, but gripping and intense."
"Captain Phillips",tt1535109,2013,7,"Hanks does a great job of course, but the ""villains"" are a pleasant surprise."
Testament,tt0086429,1983,5,***
"Synecdoche, New York",tt0383028,2008,8,***
"Meet the Robinsons",tt0396555,2007,8,"This movie moves too quickly but manages funny, engaging characters nonetheless."
Bolt,tt0397892,2008,7,"It can be funny, but for the most part, the movie feels pretty generic."
Gravity,tt1454468,2013,8,"This movie reminds me of 2001, but not just because it's about Space. The movie, as has been pointed out already, is great not for its plot but for its visuals—because Cuaron knows where to place a camera. It reminds me of 2001, because it purposefully and masterfully directs my mind and my gut. Gravity is in complete control of how I feel, thrilling me the whole time."
Fargo,tt0116282,1996,10,"This is certainly my favorite from the extraordinarily talented Coen brothers. The seamless parallel of humor, commentary, and dark thrills is unequaled."
"Guess Who's Coming to Dinner",tt0061735,1967,8,***
"Cool Hand Luke",tt0061512,1967,9,***
Shane,tt0046303,1953,9,"I do love a good Western, and this is one of the best."
"The Fountain",tt0414993,2006,7,"I think there are two problems that you can pin on this movie: not enough time is spent developing empathy for the characters, and the movie tries too hard—too much symbolism, motifs, connections, etc. I think Jackman's acting definitely starts to make up for the first, and the second isn't inherently bad. The Fountain tries to be artsy and ambiguous, but still stricken with hubris, tries to answer a big question. But that is all right, because I think it gives a good answer."
"Rise of the Planet of the Apes",tt1318514,2011,7,"The character of Caesar (as given to us by Andy Serkis) is magnificent and regal, setting this re-launch apart from the rest of franchise."
"Monsters University",tt1453405,2013,7,***
"The Hobbit: The Desolation Of Smaug",tt1170358,2013,6,***
Hellboy,tt0167190,2004,6,***
"The Wolf of Wall Street",tt0993846,2013,8,"I remember thinking during this movie, ""Is Scorsese pulling a Seinfeld here? Surely not..."" By the end of the film, I had settled on being appalled at the movie's decadence. But since then, someone has confirmed my earlier suspicions—Martin surely was pulling a Seinfeld: the movie is wicked and funny, and it is precisely our acceptance of that vulgarity that makes it wrong."
Dekalog,tt0092337,1989,10,"Greater than any of its technical achievements is its thematic word. The Decalogue reimagines what it means to live out God's revelation to humankind on Sinai, making it frighteningly closer to our hearts."
"Treasure Planet",tt0133240,2002,7,"The animation is pretty and the villain surprisingly complex, but the CGI has badly dated the movie."
"The Aristocats",tt0065421,1970,6,"Though notable for its influence on Pulp Fiction, this movie isn’t great. It has some fun parts, but you never really care about its characters."
"Chicken Little",tt0371606,2005,5,"The movie has heart and some solid jokes, but it tries too hard and the animation is lacking."
"Brother Bear",tt0328880,2003,5,"The movie suffers from an abundance of cliches; moreover, it montage-d its most important scene."
"Home on the Range",tt0299172,2004,5,"It has some surprisingly good cinematography and music, but the story is cliche and the main character uninteresting."
Frozen,tt2294629,2013,9,"Though its beginning is too rushed for effectiveness, Frozen is a beautiful, epic fairytale with excellent music and sweet storytelling."
"Saving Mr. Banks",tt2140373,2013,7,***
"Raising Arizona",tt0093822,1987,7,***
"Hot Rod",tt0787475,2007,6,***
"Do the Right Thing",tt0097216,1989,9,"A masterpiece of topical filmmaking: <a class='link' href='https://birthmoviesdeath.com/2014/08/18/hulks-favorite-movies-do-the-right-thing-1989'>Film Crit Hulk's Review</a>"
Her,tt1798709,2013,8,***
Non-Stop,tt2024469,2014,7,***
Cube,tt0123755,1997,6,"Neat ideas and visually elegant, but poorly executed."
"My Dinner with Andre",tt0082783,1981,8,"The movie is boring and long, and though I hate the sort of people in it, My Dinner with Andre has worthwhile depth"
Noah,tt1959490,2014,8,"Since it took an obviously ludicrous approach to its depiction of Scripture, this biblical epic has received a lot of flack. But the movie is undoubtedly entertaining and boasts the intimacy and psychological-depth that Aronofsky is known for."
Alien,tt0078748,1979,8,"Obviously the symbolism is dense, and that makes for an interesting movie. But I found the best part of the movie to be the acting and special effects—both aspects that made the movie ""beautiful"" in its own way."
Carrie,tt0074285,1976,8,***
"X-Men: Days of Future Past",tt1877832,2014,9,"This movie took everything good from the X-Men franchise and put in one place. I've come to very much appreciate Michael Fassbender, and the Quicksilver scene was remarkable."
"That Thing You Do!",tt0117887,1996,7,***
"Sleepy Hollow",tt0162661,1999,5,***
